class_tree,enum,label,is_valid,available_planets
1,resource,Resources,FALSE,{}
1.2,organic,Organic,FALSE,{}
1.2.276,flora_resources,Flora Resources,FALSE,{}
1.2.276.277,flora_food,Flora Food,FALSE,{}
1.2.276.277.278,cereal,Cereal,FALSE,{}
1.2.276.277.278.279,processed_cereal,Processed Cereal,FALSE,{}
1.2.276.277.278.280,corn,Corn,FALSE,{}
1.2.276.277.278.280.281,corn_domesticated,Domesticated Corn,FALSE,{}
1.2.276.277.278.280.281.282,corn_domesticated_corellia,Corellian Domesticated Corn,TRUE,{corellia}
1.2.276.277.278.280.281.283,corn_domesticated_dantooine,Dantooine Domesticated Corn,TRUE,{dantooine}
1.2.276.277.278.280.281.284,corn_domesticated_dathomir,Dathomirian Domesticated Corn,TRUE,{dathomir}
1.2.276.277.278.280.281.285,corn_domesticated_endor,Endorian Domesticated Corn,TRUE,{endor}
1.2.276.277.278.280.281.286,corn_domesticated_lok,Lokian Domesticated Corn,TRUE,{lok}
1.2.276.277.278.280.281.287,corn_domesticated_naboo,Nabooian Domesticated Corn,TRUE,{naboo}
1.2.276.277.278.280.281.288,corn_domesticated_rori,Rori Domesticated Corn,TRUE,{rori}
1.2.276.277.278.280.281.289,corn_domesticated_talus,Talusian Domesticated Corn,TRUE,{talus}
1.2.276.277.278.280.281.290,corn_domesticated_tatooine,Tatooinian Domesticated Corn,TRUE,{tatooine}
1.2.276.277.278.280.281.291,corn_domesticated_yavin4,Yavinian Domesticated Corn,TRUE,{yavin}
1.2.276.277.278.280.281.292,corn_domesticated_kashyyyk,Kashyyykian Domesticated Corn,TRUE,{kashyyyk}
1.2.276.277.278.280.281.293,corn_domesticated_mustafar,Mustafarian Domesticated Corn,TRUE,{mustafar}
1.2.276.277.278.280.294,corn_wild,Wild Corn,FALSE,{}
1.2.276.277.278.280.294.295,corn_wild_corellia,Corellian Wild Corn,TRUE,{corellia}
1.2.276.277.278.280.294.296,corn_wild_dantooine,Dantooine Wild Corn,TRUE,{dantooine}
1.2.276.277.278.280.294.297,corn_wild_dathomir,Dathomirian Wild Corn,TRUE,{dathomir}
1.2.276.277.278.280.294.298,corn_wild_endor,Endorian Wild Corn,TRUE,{endor}
1.2.276.277.278.280.294.299,corn_wild_lok,Lokian Wild Corn,TRUE,{lok}
1.2.276.277.278.280.294.300,corn_wild_naboo,Nabooian Wild Corn,TRUE,{naboo}
1.2.276.277.278.280.294.301,corn_wild_rori,Rori Wild Corn,TRUE,{rori}
1.2.276.277.278.280.294.302,corn_wild_talus,Talusian Wild Corn,TRUE,{talus}
1.2.276.277.278.280.294.303,corn_wild_tatooine,Tatooinian Wild Corn,TRUE,{tatooine}
1.2.276.277.278.280.294.304,corn_wild_yavin4,Yavinian Wild Corn,TRUE,{yavin}
1.2.276.277.278.280.294.305,corn_wild_kashyyyk,Kashyyykian Wild Corn,TRUE,{kashyyyk}
1.2.276.277.278.280.294.306,corn_wild_mustafar,Mustafarian Wild Corn,TRUE,{mustafar}
1.2.276.277.278.307,rice,Rice,FALSE,{}
1.2.276.277.278.307.308,rice_domesticated,Domesticated Rice,FALSE,{}
1.2.276.277.278.307.308.309,rice_domesticated_corellia,Corellian Domesticated Rice,TRUE,{corellia}
1.2.276.277.278.307.308.310,rice_domesticated_dantooine,Dantooine Domesticated Rice,TRUE,{dantooine}
1.2.276.277.278.307.308.311,rice_domesticated_dathomir,Dathomirian Domesticated Rice,TRUE,{dathomir}
1.2.276.277.278.307.308.312,rice_domesticated_endor,Endorian Domesticated Rice,TRUE,{endor}
1.2.276.277.278.307.308.313,rice_domesticated_lok,Lokian Domesticated Rice,TRUE,{lok}
1.2.276.277.278.307.308.314,rice_domesticated_naboo,Nabooian Domesticated Rice,TRUE,{naboo}
1.2.276.277.278.307.308.315,rice_domesticated_rori,Rori Domesticated Rice,TRUE,{rori}
1.2.276.277.278.307.308.316,rice_domesticated_talus,Talusian Domesticated Rice,TRUE,{talus}
1.2.276.277.278.307.308.317,rice_domesticated_tatooine,Tatooinian Domesticated Rice,TRUE,{tatooine}
1.2.276.277.278.307.308.318,rice_domesticated_yavin4,Yavinian Domesticated Rice,TRUE,{yavin}
1.2.276.277.278.307.308.319,rice_domesticated_kashyyyk,Kashyyykian Domesticated Rice,TRUE,{kashyyyk}
1.2.276.277.278.307.308.320,rice_domesticated_mustafar,Mustafarian Domesticated Rice,TRUE,{mustafar}
1.2.276.277.278.307.321,rice_wild,Wild Rice,FALSE,{}
1.2.276.277.278.307.321.322,rice_wild_corellia,Corellian Wild Rice,TRUE,{corellia}
1.2.276.277.278.307.321.323,rice_wild_dantooine,Dantooine Wild Rice,TRUE,{dantooine}
1.2.276.277.278.307.321.324,rice_wild_dathomir,Dathomirian Wild Rice,TRUE,{dathomir}
1.2.276.277.278.307.321.325,rice_wild_endor,Endorian Wild Rice,TRUE,{endor}
1.2.276.277.278.307.321.326,rice_wild_lok,Lokian Wild Rice,TRUE,{lok}
1.2.276.277.278.307.321.327,rice_wild_naboo,Nabooian Wild Rice,TRUE,{naboo}
1.2.276.277.278.307.321.328,rice_wild_rori,Rori Wild Rice,TRUE,{rori}
1.2.276.277.278.307.321.329,rice_wild_talus,Talusian Wild Rice,TRUE,{talus}
1.2.276.277.278.307.321.330,rice_wild_tatooine,Tatooinian Wild Rice,TRUE,{tatooine}
1.2.276.277.278.307.321.331,rice_wild_yavin4,Yavinian Wild Rice,TRUE,{yavin}
1.2.276.277.278.307.321.332,rice_wild_kashyyyk,Kashyyykian Wild Rice,TRUE,{kashyyyk}
1.2.276.277.278.307.321.333,rice_wild_mustafar,Mustafarian Wild Rice,TRUE,{mustafar}
1.2.276.277.278.334,oats,Oats,FALSE,{}
1.2.276.277.278.334.335,oats_domesticated,Domesticated Oats,FALSE,{}
1.2.276.277.278.334.335.336,oats_domesticated_corellia,Corellian Domesticated Oats,TRUE,{corellia}
1.2.276.277.278.334.335.337,oats_domesticated_dantooine,Dantooine Domesticated Oats,TRUE,{dantooine}
1.2.276.277.278.334.335.338,oats_domesticated_dathomir,Dathomirian Domesticated Oats,TRUE,{dathomir}
1.2.276.277.278.334.335.339,oats_domesticated_endor,Endorian Domesticated Oats,TRUE,{endor}
1.2.276.277.278.334.335.340,oats_domesticated_lok,Lokian Domesticated Oats,TRUE,{lok}
1.2.276.277.278.334.335.341,oats_domesticated_naboo,Nabooian Domesticated Oats,TRUE,{naboo}
1.2.276.277.278.334.335.342,oats_domesticated_rori,Rori Domesticated Oats,TRUE,{rori}
1.2.276.277.278.334.335.343,oats_domesticated_talus,Talusian Domesticated Oats,TRUE,{talus}
1.2.276.277.278.334.335.344,oats_domesticated_tatooine,Tatooinian Domesticated Oats,TRUE,{tatooine}
1.2.276.277.278.334.335.345,oats_domesticated_yavin4,Yavinian Domesticated Oats,TRUE,{yavin}
1.2.276.277.278.334.335.346,oats_domesticated_kashyyyk,Kashyyykian Domesticated Oats,TRUE,{kashyyyk}
1.2.276.277.278.334.335.347,oats_domesticated_mustafar,Mustafarian Domesticated Oats,TRUE,{mustafar}
1.2.276.277.278.334.348,oats_wild,Wild Oats,FALSE,{}
1.2.276.277.278.334.348.349,oats_wild_corellia,Corellian Wild Oats,TRUE,{corellia}
1.2.276.277.278.334.348.350,oats_wild_dantooine,Dantooine Wild Oats,TRUE,{dantooine}
1.2.276.277.278.334.348.351,oats_wild_dathomir,Dathomirian Wild Oats,TRUE,{dathomir}
1.2.276.277.278.334.348.352,oats_wild_endor,Endorian Wild Oats,TRUE,{endor}
1.2.276.277.278.334.348.353,oats_wild_lok,Lokian Wild Oats,TRUE,{lok}
1.2.276.277.278.334.348.354,oats_wild_naboo,Nabooian Wild Oats,TRUE,{naboo}
1.2.276.277.278.334.348.355,oats_wild_rori,Rori Wild Oats,TRUE,{rori}
1.2.276.277.278.334.348.356,oats_wild_talus,Talusian Wild Oats,TRUE,{talus}
1.2.276.277.278.334.348.357,oats_wild_tatooine,Tatooinian Wild Oats,TRUE,{tatooine}
1.2.276.277.278.334.348.358,oats_wild_yavin4,Yavinian Wild Oats,TRUE,{yavin}
1.2.276.277.278.334.348.359,oats_wild_kashyyyk,Kashyyykian Wild Oats,TRUE,{kashyyyk}
1.2.276.277.278.334.348.360,oats_wild_mustafar,Mustafarian Wild Oats,TRUE,{mustafar}
1.2.276.277.278.361,wheat,Wheat,FALSE,{}
1.2.276.277.278.361.362,wheat_domesticated,Domesticated Wheat,FALSE,{}
1.2.276.277.278.361.362.363,wheat_domesticated_corellia,Corellian Domesticated Wheat,TRUE,{corellia}
1.2.276.277.278.361.362.364,wheat_domesticated_dantooine,Dantooine Domesticated Wheat,TRUE,{dantooine}
1.2.276.277.278.361.362.365,wheat_domesticated_dathomir,Dathomirian Domesticated Wheat,TRUE,{dathomir}
1.2.276.277.278.361.362.366,wheat_domesticated_endor,Endorian Domesticated Wheat,TRUE,{endor}
1.2.276.277.278.361.362.367,wheat_domesticated_lok,Lokian Domesticated Wheat,TRUE,{lok}
