id,class_tree,name,planet,res_weight_rating,res_quality,res_quality_rating,res_decay_resist,res_decay_resist_rating,res_flavor,res_flavor_rating,res_potential_energy,res_potential_energy_rating,res_malleability,res_malleability_rating,res_toughness,res_toughness_rating,res_shock_resistance,res_shock_resistance_rating,res_cold_resist,res_cold_resist_rating,res_heat_resist,res_heat_resist_rating,res_conductivity,res_conductivity_rating,entangle_resistance,entangle_resistance_rating,is_active,date_reported,date_inactive,last_modified,server_id,notes,reporter_id,last_updated_by,waypoints
1,1.526.527.540.542,Uxiaceiism,"{Naboo,Rori,Lok,Corellia,Yavin,Endor,Dathomir,Talus}",0.287,268,0.268,17,0.017,,,,,297,0.297,664,0.664,187,0.187,,,,,,,,,FALSE,2025-12-30 04:01:38.721826+00,,2026-01-06 19:07:20.985042+00,cuemu,,1.5035E+17,,
2,1.2.276.277.278.280.294.300,Aodo,{Naboo},0.482,625,0.625,200,0.2,838,0.838,187,0.267,,,,,,,,,,,,,,,FALSE,2025-12-30 04:07:55.624808+00,,2026-01-16 09:53:09.684672+00,cuemu,,1.5035E+17,,
3,1.526.527.540.541,Wedooium,"{Naboo,Tatooine,Lok,Corellia,Yavin,Endor,Dathomir}",0.294,209,0.209,380,0.38,,,,,,,,,,,,,,,,,,,FALSE,2025-12-30 04:14:24.742496+00,,2026-01-05 14:16:54.196194+00,cuemu,,1.5035E+17,,
4,1.526.527.540.541,Secosis,"{Naboo,Rori,Tatooine,Lok,Yavin,Endor,Dantooine,Dathomir}",0.12,118,0.118,123,0.123,,,,,,,,,,,,,,,,,,,FALSE,2025-12-30 19:12:59.352372+00,,2026-01-05 14:16:48.583574+00,cuemu,"87% outside Entha 950, 980",1.5035E+17,,
5,1.526.571.584.587.594,Neba,"{Naboo,Rori,Corellia,Yavin,Dantooine,Endor,Dathomir,Talus}",0.795,462,0.462,774,0.968,,,954,0.954,,,,,,,,,,,,,,,FALSE,2025-12-30 04:03:04.60082+00,,2026-01-03 22:13:35.322776+00,cuemu,,1.1874E+17,,
6,1.526.571.653.680.692.698,Rewadaate,"{Naboo,Rori,Tatooine,Lok,Corellia,Yavin,Dantooine,Talus}",0.815,960,0.96,448,0.725,,,,,808,0.88,437,0.707,397,0.749,746,0.813,798,0.869,,,,,FALSE,2025-12-30 19:57:19.775452+00,,2026-01-07 01:39:10.72077+00,cuemu,,1.5035E+17,,
7,1.526.571.597.627.640.651,Cerairis,{Dantooine},0.346,415,0.415,508,0.508,,,,,703,0.703,93,0.093,196,0.196,329,0.329,443,0.443,83,0.083,,,FALSE,2025-12-30 03:57:58.034448+00,,2026-01-11 16:45:51.955617+00,cuemu,,1.5035E+17,,
8,1.2.276.277.388.443.471.477,Wipa,{Naboo},0.493,13,0.013,976,0.976,439,0.439,381,0.544,,,,,,,,,,,,,,,FALSE,2025-12-30 04:13:56.301645+00,,2026-01-05 03:28:35.912476+00,cuemu,,1.5035E+17,,
9,1.2.276.277.388.443.445.451,Srokie,{Naboo},0.315,423,0.423,319,0.319,263,0.263,253,0.253,,,,,,,,,,,,,,,FALSE,2025-12-30 04:12:46.465526+00,,2026-01-05 03:28:24.169646+00,cuemu,,1.5035E+17,,
10,1.2.276.277.388.389.417.423,Morame,{Naboo},0.325,115,0.115,285,0.285,565,0.565,335,0.335,,,,,,,,,,,,,,,FALSE,2025-12-30 04:12:07.86795+00,,2026-01-05 03:28:16.868512+00,cuemu,,1.5035E+17,,
11,1.2.276.277.278.334.335.341,Redela,{Naboo},0.23,137,0.137,51,0.051,228,0.326,406,0.406,,,,,,,,,,,,,,,FALSE,2025-12-30 04:09:40.001669+00,,2026-01-11 17:39:28.19856+00,cuemu,,1.5035E+17,,
12,1.2.276.277.388.389.430.436,Vistera,{Naboo},0.348,662,0.662,614,0.614,13,0.013,103,0.103,,,,,,,,,,,,,,,FALSE,2025-12-30 04:11:36.805147+00,,2026-01-05 03:28:13.413471+00,cuemu,,1.5035E+17,,
13,1.526.571.597.598.601.613,Nonitioine,{Naboo},0.558,324,0.324,714,0.714,,,,,652,0.652,773,0.773,402,0.402,737,0.737,531,0.531,330,0.33,,,FALSE,2025-12-30 03:58:47.002528+00,,2026-01-16 09:50:18.649592+00,cuemu,,1.5035E+17,,
14,1.2.276.277.278.307.321.327,Nobirhe,{Naboo},0.376,373,0.373,327,0.327,594,0.594,148,0.211,,,,,,,,,,,,,,,FALSE,2025-12-30 04:06:49.305689+00,,2026-01-07 23:09:32.872165+00,cuemu,,1.5035E+17,,
