server,class_tree,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr1_min,attr1_max,attr2_min,attr2_max,attr3_min,attr3_max,attr4_min,attr4_max,attr5_min,attr5_max,attr6_min,attr6_max,attr7_min,attr7_max,attr8_min,attr8_max,attr9_min,attr9_max,attr10_min,attr10_max,attr11_min,attr11_max
core3,1,res_decay_resist,res_quality,res_flavor,res_potential_energy,res_malleability,res_toughness,res_shock_resistance,res_cold_resist,res_heat_resist,res_conductivity,entangle_resistance,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000
core3,1.2,res_decay_resist,res_quality,res_flavor,res_potential_energy,res_malleability,res_toughness,res_shock_resistance,,,,,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,,,,,,,,
core3,1.2.276,res_decay_resist,res_quality,res_malleability,res_toughness,res_shock_resistance,,,,,,,1,1000,1,1000,1,1000,1,1000,1,1000,,,,,,,,,,,,
core3,1.2.276.277,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,1000,1,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,1000,1,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.279,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,200,200,200,200,200,200,200,200,,,,,,,,,,,,,,
core3,1.2.276.277.278.280,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,1000,1,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.282,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.283,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.284,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.285,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.286,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.287,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.288,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.289,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.290,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.291,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.281.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.295,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.296,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.297,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.298,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.299,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.300,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.301,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.302,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.303,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.304,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.280.294.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.307,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,1000,1,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.309,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.310,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.311,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.312,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.313,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.314,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.315,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.316,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.317,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.318,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,1,700,300,1000,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.308.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.322,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.323,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.324,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.325,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.326,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.327,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.328,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.329,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.330,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
core3,1.2.276.277.278.307.321.331,res_decay_resist,res_quality,res_flavor,res_potential_energy,,,,,,,,1,1000,1,1000,300,1000,1,700,,,,,,,,,,,,,,
